"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província_naixement","Nombre"
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Andalusia","Còrdova",44
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Andalusia","Còrdova",13
2021,10,"Sant Martí",68,"el Poblenou","Dones","Andalusia","Còrdova",55
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Andalusia","Còrdova",48
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Andalusia","Còrdova",148
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Andalusia","Còrdova",98
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Andalusia","Còrdova",152
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Andalusia","Còrdova",263
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Granada",78
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Granada",42
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Granada",155
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Granada",45
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Granada",92
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Granada",144
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Granada",89
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Granada",74
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Granada",154
2021,2,"Eixample",10,"Sant Antoni","Dones","Andalusia","Granada",98
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Andalusia","Granada",127
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Andalusia","Granada",3
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Andalusia","Granada",172
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Andalusia","Granada",30
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Andalusia","Granada",65
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Andalusia","Granada",86
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Andalusia","Granada",104
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Andalusia","Granada",124
2021,4,"Les Corts",19,"les Corts","Dones","Andalusia","Granada",125
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Andalusia","Granada",101
2021,4,"Les Corts",21,"Pedralbes","Dones","Andalusia","Granada",18
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Andalusia","Granada",8
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Andalusia","Granada",41
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Andalusia","Granada",22
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Andalusia","Granada",33
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Andalusia","Granada",60
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Andalusia","Granada",61
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Andalusia","Granada",52
2021,6,"Gràcia",29,"el Coll","Dones","Andalusia","Granada",35
2021,6,"Gràcia",30,"la Salut","Dones","Andalusia","Granada",33
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Andalusia","Granada",116
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Andalusia","Granada",110
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Andalusia","Granada",108
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Andalusia","Granada",90
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Andalusia","Granada",162
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Andalusia","Granada",51
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Andalusia","Granada",391
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Andalusia","Granada",115
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Andalusia","Granada",82
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Andalusia","Granada",29
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Andalusia","Granada",35
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Andalusia","Granada",6
2021,7,"Horta-Guinardó",43,"Horta","Dones","Andalusia","Granada",157
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Andalusia","Granada",135
2021,8,"Nou Barris",45,"Porta","Dones","Andalusia","Granada",206
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Andalusia","Granada",83
2021,8,"Nou Barris",47,"Can Peguera","Dones","Andalusia","Granada",15
2021,8,"Nou Barris",48,"la Guineueta","Dones","Andalusia","Granada",146
2021,8,"Nou Barris",49,"Canyelles","Dones","Andalusia","Granada",88
2021,8,"Nou Barris",50,"les Roquetes","Dones","Andalusia","Granada",178
2021,8,"Nou Barris",51,"Verdun","Dones","Andalusia","Granada",112
